Date,Close/Last,Volume,Open,High,Low
06/06/2025,$28.08,22403090,$27.77,$28.10,$27.77
06/05/2025,$27.76,29189990,$27.43,$27.8481,$27.33
06/04/2025,$27.36,33913510,$27.955,$27.97,$27.22
06/03/2025,$27.96,26085930,$27.89,$28.13,$27.645
06/02/2025,$27.93,26935160,$27.65,$27.96,$27.60
05/30/2025,$27.80,47964950,$27.39,$27.80,$27.35
05/29/2025,$27.38,27192330,$27.48,$27.505,$27.27
05/28/2025,$27.50,32270170,$27.375,$27.6199,$27.31
05/27/2025,$27.39,33329200,$27.355,$27.63,$27.32
05/23/2025,$27.42,31766320,$27.475,$27.53,$27.16
05/22/2025,$27.23,25901600,$27.58,$27.71,$27.21
05/21/2025,$27.47,29684180,$27.68,$27.765,$27.41
05/20/2025,$27.78,24966610,$28.05,$28.255,$27.75
05/19/2025,$28.02,30996580,$27.76,$28.04,$27.71
05/16/2025,$27.72,31105980,$27.37,$27.7686,$27.12
05/15/2025,$27.33,35278660,$26.60,$27.40,$26.595
05/14/2025,$26.44,31519450,$26.43,$26.59,$26.30
05/13/2025,$26.45,58767130,$27.05,$27.13,$26.31
05/12/2025,$27.01,57106060,$27.09,$27.30,$26.67
05/09/2025,$27.84,29206950,$27.56,$28.02,$27.4248
05/08/2025,$27.47,30141460,$28.00,$28.04,$27.45
05/07/2025,$28.10,28358130,$28.04,$28.395,$27.95
05/06/2025,$28.16,32491680,$27.54,$28.235,$27.50
05/05/2025,$27.51,21335350,$27.56,$27.69,$27.16
05/02/2025,$27.61,22928350,$27.60,$27.78,$27.36
05/01/2025,$27.64,37367600,$27.50,$27.78,$27.27
04/30/2025,$27.70,38877130,$27.60,$27.89,$27.32
04/29/2025,$27.30,25015770,$27.095,$27.44,$27.05
04/28/2025,$27.26,24156020,$26.90,$27.265,$26.795
04/25/2025,$26.81,37050290,$27.46,$27.52,$26.625
04/24/2025,$27.53,43640820,$27.17,$27.83,$27.1402
04/23/2025,$27.19,43351000,$26.535,$27.32,$26.12
04/22/2025,$26.96,50906760,$26.00,$27.36,$25.98
04/21/2025,$26.33,46225990,$27.16,$27.28,$26.16
04/17/2025,$27.15,24870250,$27.18,$27.49,$27.01
04/16/2025,$27.02,27835880,$27.74,$27.78,$26.94
04/15/2025,$27.50,25721330,$27.50,$27.63,$27.26
04/14/2025,$27.20,27042810,$26.63,$27.35,$26.575
04/11/2025,$26.79,32057590,$26.58,$26.90,$26.3647
04/10/2025,$26.39,51467890,$26.24,$26.76,$25.90
04/09/2025,$26.47,77738750,$26.09,$26.855,$25.20
04/08/2025,$26.39,55717140,$27.02,$27.19,$26.03
04/07/2025,$26.83,74875360,$25.18,$27.225,$25.10
04/04/2025,$26.64,61360980,$28.00,$28.43,$26.53
04/03/2025,$28.60,48912280,$28.54,$29.03,$28.45
04/02/2025,$28.14,41574760,$28.41,$28.59,$28.01
04/01/2025,$28.48,43986380,$28.40,$28.61,$28.22
03/31/2025,$28.28,50156530,$28.26,$28.56,$28.21
03/28/2025,$28.18,35085250,$28.35,$28.51,$28.0619
03/27/2025,$28.20,43000100,$27.77,$28.42,$27.64
03/26/2025,$27.65,42607090,$27.405,$27.84,$27.36
03/25/2025,$27.31,42339650,$26.97,$27.56,$26.97
03/24/2025,$26.96,26863270,$26.86,$27.22,$26.835
03/21/2025,$27.02,91268550,$26.81,$27.21,$26.64
03/20/2025,$26.79,27272270,$26.90,$26.93,$26.68
03/19/2025,$26.84,30145680,$26.65,$26.935,$26.4503
03/18/2025,$26.61,30365550,$26.795,$26.98,$26.56
03/17/2025,$26.83,45570000,$26.57,$26.93,$26.25
03/14/2025,$26.58,37591280,$25.80,$26.65,$25.75
03/13/2025,$26.09,37698480,$25.79,$26.46,$25.76
03/12/2025,$25.72,62383220,$25.63,$25.86,$24.89
03/11/2025,$26.01,74574310,$26.47,$26.825,$25.59
03/10/2025,$27.28,57820810,$27.11,$27.455,$26.68
03/07/2025,$27.12,35341920,$26.67,$27.21,$26.60
03/06/2025,$26.73,32211560,$26.22,$26.79,$26.055
03/05/2025,$26.18,42010130,$26.065,$26.39,$25.83
03/04/2025,$26.22,89479650,$27.80,$27.97,$26.12
03/03/2025,$27.72,45078610,$27.27,$27.86,$27.19
02/28/2025,$27.41,62510760,$27.00,$27.49,$27.00
02/27/2025,$26.90,32943310,$26.64,$26.965,$26.57
02/26/2025,$26.57,39296510,$26.56,$26.83,$26.43
02/25/2025,$26.65,52497240,$26.87,$27.16,$26.26
02/24/2025,$26.74,54549590,$26.615,$27.125,$26.60
02/21/2025,$26.62,58421460,$26.08,$26.72,$25.97
02/20/2025,$26.15,32753930,$26.20,$26.28,$25.94
02/19/2025,$26.24,30551540,$26.22,$26.35,$26.07
02/18/2025,$26.07,52442460,$25.71,$26.18,$25.71
02/14/2025,$25.87,31687790,$25.67,$25.93,$25.60
02/13/2025,$25.63,35115140,$25.47,$25.735,$25.36
02/12/2025,$25.36,38970310,$25.15,$25.38,$25.055
02/11/2025,$25.15,35150260,$24.90,$25.18,$24.80
02/10/2025,$24.86,31913390,$24.605,$24.94,$24.60
02/07/2025,$24.54,26290100,$24.45,$24.73,$24.245
02/06/2025,$24.45,24522480,$24.50,$24.56,$24.30
02/05/2025,$24.47,29511720,$24.46,$24.575,$24.28
02/04/2025,$24.25,30540240,$24.21,$24.43,$24.0739
02/03/2025,$24.25,59555830,$23.69,$24.43,$23.67
01/31/2025,$23.73,40347630,$24.01,$24.14,$23.66
01/30/2025,$24.02,45653010,$24.165,$24.23,$23.775
01/29/2025,$24.23,34420440,$24.71,$24.98,$24.20
01/28/2025,$24.40,55731400,$24.06,$24.58,$23.92
01/27/2025,$24.14,92445180,$23.50,$24.365,$23.35
01/24/2025,$22.72,44409180,$22.55,$22.79,$22.54
01/23/2025,$22.53,32125220,$22.34,$22.66,$22.22
01/22/2025,$22.32,31676420,$22.38,$22.475,$22.02
01/21/2025,$22.49,36777560,$22.21,$22.54,$22.21
01/17/2025,$22.29,33638000,$22.09,$22.37,$21.98
01/16/2025,$22.02,25639590,$22.00,$22.13,$21.84
01/15/2025,$21.91,50559890,$21.98,$22.09,$21.88
01/14/2025,$21.80,25627300,$21.52,$21.82,$21.38
01/13/2025,$21.56,37865590,$21.63,$21.68,$21.40
01/10/2025,$21.69,41572440,$21.88,$22.04,$21.49
01/08/2025,$22.18,35517850,$22.13,$22.245,$21.66
01/07/2025,$22.20,37143500,$22.54,$22.645,$22.16
01/06/2025,$22.60,34416020,$22.755,$22.77,$22.53
01/03/2025,$22.67,26879830,$22.90,$22.96,$22.65
01/02/2025,$22.83,27108200,$22.83,$23.17,$22.80
12/31/2024,$22.77,22342840,$22.62,$22.85,$22.60
12/30/2024,$22.61,25419990,$22.78,$22.78,$22.44
12/27/2024,$22.86,18547500,$22.88,$23.07,$22.815
12/26/2024,$22.96,16445920,$22.93,$23.15,$22.875
12/24/2024,$22.95,9605933,$22.84,$22.9894,$22.76
12/23/2024,$22.84,24655640,$22.67,$22.87,$22.59
12/20/2024,$22.75,93983990,$22.59,$22.75,$22.52
12/19/2024,$22.57,43160750,$22.505,$22.68,$22.41
12/18/2024,$22.48,38897360,$22.802,$22.985,$22.46
12/17/2024,$22.83,39844720,$22.80,$22.98,$22.6717
12/16/2024,$22.84,48018070,$23.71,$23.81,$22.61
12/13/2024,$23.63,33693910,$23.37,$23.67,$23.26
12/12/2024,$23.36,22014960,$23.58,$23.74,$23.36
12/11/2024,$23.48,38518060,$23.43,$23.5399,$23.14
12/10/2024,$23.51,32851500,$23.41,$23.66,$23.11
12/09/2024,$23.37,38385900,$23.90,$23.99,$23.34
12/06/2024,$23.88,34218760,$23.825,$23.90,$23.56
12/05/2024,$23.83,40155620,$23.605,$23.89,$23.58
12/04/2024,$23.53,41534170,$23.67,$23.825,$23.37
12/03/2024,$23.74,63128690,$23.41,$24.03,$23.38
12/02/2024,$22.70,44160560,$23.15,$23.16,$22.64
11/29/2024,$23.16,19673930,$23.27,$23.305,$23.01
11/27/2024,$23.27,33206300,$23.20,$23.38,$23.01
11/26/2024,$23.09,30080350,$22.94,$23.11,$22.87
11/25/2024,$23.10,64729770,$23.15,$23.32,$22.95
11/22/2024,$23.18,35732870,$23.05,$23.29,$22.935
11/21/2024,$22.98,23080890,$22.80,$23.15,$22.73
11/20/2024,$22.83,20423060,$22.80,$22.90,$22.735
11/19/2024,$22.73,24727690,$22.88,$22.92,$22.68
11/18/2024,$22.99,35675530,$22.785,$23.20,$22.78
11/15/2024,$22.68,40207260,$22.24,$22.75,$22.195
11/14/2024,$22.25,20825100,$22.30,$22.46,$22.22
11/13/2024,$22.30,29345580,$22.17,$22.39,$22.06
11/12/2024,$22.15,39579540,$22.21,$22.29,$21.79
11/11/2024,$22.31,23464950,$22.28,$22.48,$22.245
11/08/2024,$22.34,29901560,$22.05,$22.43,$22.05
11/07/2024,$22.04,31471830,$22.39,$22.39,$21.96
11/06/2024,$22.32,32259160,$22.11,$22.39,$21.97
11/05/2024,$22.05,26461790,$21.90,$22.17,$21.8313
11/04/2024,$21.92,24318470,$22.14,$22.25,$21.79
11/01/2024,$22.12,37169970,$22.53,$22.73,$22.07
10/31/2024,$22.54,59566750,$22.06,$22.595,$22.03
10/30/2024,$22.02,36264940,$22.13,$22.255,$21.90
10/29/2024,$22.18,32711090,$21.99,$22.36,$21.92
10/28/2024,$22.11,27923760,$21.92,$22.15,$21.8202
10/25/2024,$21.83,26050390,$22.30,$22.41,$21.81
10/24/2024,$22.20,38783140,$22.40,$22.48,$22.06
10/23/2024,$22.49,71932600,$21.24,$22.58,$21.05
10/22/2024,$21.50,47781950,$21.25,$21.62,$21.05
10/21/2024,$21.66,29366230,$21.88,$21.97,$21.65
10/18/2024,$21.85,27277370,$21.73,$22.06,$21.63
10/17/2024,$21.73,25471190,$21.56,$21.77,$21.53
10/16/2024,$21.71,23926950,$21.52,$21.76,$21.48
10/15/2024,$21.51,35942560,$21.39,$21.61,$21.23
10/14/2024,$21.26,33512230,$21.36,$21.41,$21.255
10/11/2024,$21.37,25249820,$21.30,$21.445,$21.2219
10/10/2024,$21.22,28738530,$21.60,$21.68,$21.21
10/09/2024,$21.93,25365380,$21.87,$22.00,$21.785
10/08/2024,$21.86,22716400,$21.92,$21.98,$21.72
10/07/2024,$21.78,23116340,$21.91,$21.91,$21.67
10/04/2024,$21.91,24545360,$21.70,$21.98,$21.48
10/03/2024,$22.05,28894730,$22.13,$22.225,$21.97
10/02/2024,$22.19,29820070,$22.05,$22.24,$22.00
10/01/2024,$22.13,32705540,$21.93,$22.15,$21.835
09/30/2024,$22.00,26272690,$22.003,$22.065,$21.665
09/27/2024,$21.90,23577660,$21.72,$21.935,$21.6831
09/26/2024,$21.65,25497510,$21.49,$21.76,$21.43
09/25/2024,$21.56,28334840,$21.62,$21.74,$21.52
09/24/2024,$21.59,25905470,$21.38,$21.66,$21.31
09/23/2024,$21.49,25550280,$21.54,$21.595,$21.36
09/20/2024,$21.54,94156520,$21.30,$21.62,$21.23
09/19/2024,$21.36,40942190,$21.65,$21.70,$21.18
09/18/2024,$21.73,27825580,$21.84,$21.995,$21.64
09/17/2024,$21.78,29304420,$22.07,$22.10,$21.71
09/16/2024,$22.27,53733360,$21.84,$22.34,$21.79
09/13/2024,$21.64,31451270,$21.57,$21.67,$21.435
09/12/2024,$21.59,34568180,$21.33,$21.64,$21.17
09/11/2024,$21.45,37328460,$21.615,$21.615,$21.24
09/10/2024,$21.71,60944520,$21.45,$21.86,$21.3306
09/09/2024,$21.50,58958380,$20.96,$21.60,$20.925
09/06/2024,$20.97,53079540,$20.65,$21.00,$20.65
09/05/2024,$20.65,44199090,$20.71,$20.83,$20.52
09/04/2024,$20.57,57532380,$20.49,$20.87,$20.25
09/03/2024,$20.43,50352600,$19.93,$20.45,$19.92
08/30/2024,$19.90,29362660,$19.76,$19.91,$19.70
08/29/2024,$19.76,20775550,$19.80,$19.85,$19.62
08/28/2024,$19.82,20435530,$19.68,$19.91,$19.67
08/27/2024,$19.65,20321900,$19.74,$19.795,$19.595
08/26/2024,$19.76,22599680,$19.76,$19.94,$19.7035
08/23/2024,$19.73,21519300,$19.54,$19.76,$19.51
08/22/2024,$19.51,17596670,$19.56,$19.58,$19.40
08/21/2024,$19.54,20055500,$19.52,$19.59,$19.4211
08/20/2024,$19.49,20260890,$19.46,$19.58,$19.385
08/19/2024,$19.49,20506740,$19.35,$19.51,$19.34
08/16/2024,$19.34,24724430,$19.12,$19.36,$19.08
08/15/2024,$19.09,42608090,$19.55,$19.575,$18.97
08/14/2024,$19.63,19158620,$19.48,$19.66,$19.4214
08/13/2024,$19.52,21508020,$19.42,$19.56,$19.36
08/12/2024,$19.43,22979920,$19.54,$19.56,$19.30
08/09/2024,$19.49,22819610,$19.39,$19.595,$19.27
08/08/2024,$19.40,25588150,$19.255,$19.48,$19.21
08/07/2024,$19.25,30036720,$19.20,$19.5199,$19.095
08/06/2024,$19.19,33775980,$18.885,$19.30,$18.86
08/05/2024,$18.91,50898440,$18.80,$19.12,$18.64
08/02/2024,$19.37,45240120,$19.64,$19.99,$19.19
08/01/2024,$19.47,44379270,$19.31,$19.63,$19.13
07/31/2024,$19.25,39522010,$18.90,$19.32,$18.88
07/30/2024,$18.98,27854990,$18.95,$19.03,$18.835
07/29/2024,$18.90,30788260,$19.00,$19.015,$18.82
07/26/2024,$19.01,30844170,$19.16,$19.30,$18.89
07/25/2024,$19.19,54049740,$19.15,$19.74,$19.10
07/24/2024,$19.16,64464980,$18.92,$19.23,$18.76
07/23/2024,$18.21,70161840,$18.57,$18.61,$18.14
07/22/2024,$18.55,44083640,$18.70,$18.77,$18.31
07/19/2024,$19.12,29910310,$19.12,$19.24,$18.98
07/18/2024,$19.15,34793870,$19.10,$19.33,$18.99
07/17/2024,$19.16,40611460,$18.90,$19.19,$18.85
07/16/2024,$18.85,23923650,$18.595,$18.86,$18.565
07/15/2024,$18.58,33910860,$18.85,$18.87,$18.53
07/12/2024,$18.81,37919380,$18.72,$18.85,$18.585
07/11/2024,$18.86,23633150,$18.70,$18.87,$18.62
07/10/2024,$18.74,33408230,$18.57,$18.75,$18.46
07/09/2024,$18.80,27840910,$18.82,$18.98,$18.705
07/08/2024,$18.81,23277380,$18.84,$18.90,$18.69
07/05/2024,$18.77,30727770,$18.70,$18.80,$18.645
07/03/2024,$18.68,19463000,$18.88,$18.915,$18.66
07/02/2024,$18.82,31606880,$18.98,$19.00,$18.68
07/01/2024,$18.98,36095660,$19.24,$19.32,$18.83
06/28/2024,$19.11,52825160,$18.80,$19.13,$18.78
06/27/2024,$18.75,28916350,$18.78,$18.79,$18.61
06/26/2024,$18.76,32029650,$18.64,$18.81,$18.61
06/25/2024,$18.69,34090640,$18.64,$18.73,$18.53
06/24/2024,$18.65,42162150,$18.42,$18.70,$18.40
06/21/2024,$18.40,72567210,$18.17,$18.455,$18.07
06/20/2024,$18.11,32100610,$17.94,$18.16,$17.90
06/18/2024,$18.05,33711090,$17.88,$18.20,$17.86
06/17/2024,$17.67,27451580,$17.56,$17.70,$17.49
06/14/2024,$17.64,22652280,$17.59,$17.745,$17.49
06/13/2024,$17.67,30691970,$17.545,$17.68,$17.42
06/12/2024,$17.61,35652180,$17.99,$18.04,$17.57
06/11/2024,$17.86,29956970,$17.84,$17.95,$17.725
06/10/2024,$17.86,32419550,$18.00,$18.04,$17.75
06/07/2024,$18.10,36626730,$18.22,$18.22,$17.97
06/06/2024,$18.28,22319230,$18.29,$18.45,$18.22
06/05/2024,$18.30,28101800,$18.31,$18.32,$18.16
06/04/2024,$18.35,30089140,$17.97,$18.36,$17.90
06/03/2024,$18.01,38332730,$18.13,$18.33,$17.96
05/31/2024,$18.22,67619460,$17.53,$18.27,$17.47
05/30/2024,$17.62,33266530,$17.17,$17.64,$17.16
05/29/2024,$17.12,23503820,$17.25,$17.31,$17.11
05/28/2024,$17.27,25458310,$17.46,$17.525,$17.20
05/24/2024,$17.50,24995960,$17.49,$17.61,$17.4201
05/23/2024,$17.47,32477710,$17.40,$17.51,$17.32
05/22/2024,$17.50,30647460,$17.19,$17.51,$17.185
05/21/2024,$17.27,31173260,$17.51,$17.52,$17.14
05/20/2024,$17.52,28266550,$17.38,$17.56,$17.355
05/17/2024,$17.40,25891150,$17.40,$17.41,$17.26
05/16/2024,$17.30,24686190,$17.31,$17.37,$17.15
05/15/2024,$17.33,30877920,$17.35,$17.44,$17.18
05/14/2024,$17.30,23545320,$17.28,$17.34,$17.22
05/13/2024,$17.26,28014810,$17.18,$17.34,$17.15
05/10/2024,$17.17,19229580,$17.20,$17.22,$17.12
05/09/2024,$17.18,22547750,$17.10,$17.19,$17.04
05/08/2024,$17.11,25292090,$17.03,$17.20,$17.00
05/07/2024,$17.08,28086770,$17.06,$17.21,$17.00
05/06/2024,$16.99,24182290,$16.95,$17.04,$16.91
05/03/2024,$16.85,24023190,$16.82,$16.92,$16.73
05/02/2024,$16.82,32204960,$16.99,$16.99,$16.73
05/01/2024,$16.92,39355580,$16.83,$17.10,$16.78
04/30/2024,$16.89,31822750,$16.91,$16.98,$16.80
04/29/2024,$17.02,43593400,$16.99,$17.28,$16.99
04/26/2024,$16.75,37852680,$16.47,$16.88,$16.39
04/25/2024,$16.58,46680420,$16.70,$17.00,$16.50
04/24/2024,$16.81,74197830,$16.90,$17.03,$16.38
04/23/2024,$16.50,47804980,$16.38,$16.53,$16.29
04/22/2024,$16.31,54178100,$16.69,$16.73,$16.17
04/19/2024,$16.51,45820350,$16.33,$16.525,$16.26
04/18/2024,$16.33,29566460,$16.11,$16.345,$16.09
04/17/2024,$16.12,27177520,$16.11,$16.25,$16.06
04/16/2024,$16.09,56368800,$16.22,$16.23,$15.9401
04/15/2024,$16.24,40249910,$16.46,$16.54,$16.13
04/12/2024,$16.31,41785200,$16.41,$16.46,$16.2525
04/11/2024,$16.42,40831200,$16.67,$16.695,$16.42
04/10/2024,$16.73,39046810,$16.77,$16.79,$16.51
04/09/2024,$16.90,32802500,$17.00,$17.08,$16.81
04/08/2024,$17.25,27372190,$17.40,$17.46,$17.215
04/05/2024,$17.42,37768990,$17.52,$17.54,$17.28
